-1.462657,	 0.829425,	 0.419959,	 -2.511782,	 -3.450655,	 -1.514850,
-1.475721,	 0.811240,	 0.411971,	 -2.453361,	 -3.483376,	 -1.531438,
-1.488478,	 0.792885,	 0.403897,	 -2.394479,	 -3.515342,	 -1.547690,
-1.500925,	 0.774364,	 0.395738,	 -2.335146,	 -3.546548,	 -1.563607,
-1.513059,	 0.755680,	 0.387496,	 -2.275371,	 -3.576991,	 -1.579186,
-1.524879,	 0.736838,	 0.379174,	 -2.215165,	 -3.606668,	 -1.594425,
-1.536381,	 0.717842,	 0.370771,	 -2.154535,	 -3.635576,	 -1.609322,
-1.547564,	 0.698696,	 0.362292,	 -2.093492,	 -3.663711,	 -1.623877,
-1.558426,	 0.679404,	 0.353736,	 -2.032044,	 -3.691070,	 -1.638086,
-1.568965,	 0.659970,	 0.345107,	 -1.970201,	 -3.717650,	 -1.651949,
-1.579178,	 0.640397,	 0.336406,	 -1.907973,	 -3.743448,	 -1.665463,
-1.589063,	 0.620691,	 0.327634,	 -1.845368,	 -3.768461,	 -1.678628,
-1.598619,	 0.600856,	 0.318795,	 -1.782396,	 -3.792685,	 -1.691440,
-1.607844,	 0.580895,	 0.309888,	 -1.719067,	 -3.816118,	 -1.703899,
-1.616736,	 0.560812,	 0.300917,	 -1.655388,	 -3.838756,	 -1.716004,
-1.625292,	 0.540613,	 0.291883,	 -1.591371,	 -3.860596,	 -1.727751,
-1.633512,	 0.520300,	 0.282789,	 -1.527023,	 -3.881636,	 -1.739140,
-1.641393,	 0.499878,	 0.273635,	 -1.462355,	 -3.901871,	 -1.750169,
-1.648934,	 0.479352,	 0.264424,	 -1.397375,	 -3.921300,	 -1.760836,
-1.656133,	 0.458726,	 0.255158,	 -1.332093,	 -3.939918,	 -1.771140,
-1.662989,	 0.438004,	 0.245838,	 -1.266518,	 -3.957724,	 -1.781079,
-1.669500,	 0.417190,	 0.236467,	 -1.200660,	 -3.974713,	 -1.790651,
-1.675665,	 0.396288,	 0.227047,	 -1.134528,	 -3.990884,	 -1.799855,
-1.681482,	 0.375304,	 0.217579,	 -1.068131,	 -4.006233,	 -1.808690,
-1.686950,	 0.354240,	 0.208065,	 -1.001479,	 -4.020756,	 -1.817152,
-1.692067,	 0.333102,	 0.198508,	 -0.934581,	 -4.034452,	 -1.825242,
-1.696833,	 0.311894,	 0.188909,	 -0.867447,	 -4.047317,	 -1.832957,
-1.701246,	 0.290620,	 0.179271,	 -0.800086,	 -4.059348,	 -1.840296,
-1.705304,	 0.269284,	 0.169594,	 -0.732508,	 -4.070543,	 -1.847256,
-1.709008,	 0.247892,	 0.159882,	 -0.664722,	 -4.080898,	 -1.853838,
-1.712355,	 0.226447,	 0.150136,	 -0.596738,	 -4.090410,	 -1.860038,
-1.715344,	 0.204954,	 0.140359,	 -0.528566,	 -4.099077,	 -1.865855,
-1.717976,	 0.183417,	 0.130552,	 -0.460215,	 -4.106895,	 -1.871288,
-1.720248,	 0.161840,	 0.120717,	 -0.391696,	 -4.113863,	 -1.876335,
-1.722160,	 0.140229,	 0.110856,	 -0.323018,	 -4.119976,	 -1.880995,
-1.723712,	 0.118588,	 0.100971,	 -0.254191,	 -4.125233,	 -1.885266,
-1.724902,	 0.096921,	 0.091066,	 -0.185225,	 -4.129629,	 -1.889146,
-1.725729,	 0.075233,	 0.081140,	 -0.116130,	 -4.133163,	 -1.892634,
-1.726193,	 0.053528,	 0.071197,	 -0.046917,	 -4.135832,	 -1.895729,
-1.726294,	 0.031810,	 0.061239,	 0.022405,	 -4.137633,	 -1.898428,
-1.726031,	 0.010086,	 0.051267,	 0.091826,	 -4.138562,	 -1.900730,
-1.725403,	 -0.011642,	 0.041284,	 0.161334,	 -4.138618,	 -1.902634,
-1.724409,	 -0.033369,	 0.031292,	 0.230920,	 -4.137798,	 -1.904138,
-1.723051,	 -0.055089,	 0.021293,	 0.300573,	 -4.136099,	 -1.905241,
-1.721326,	 -0.076798,	 0.011288,	 0.370282,	 -4.133518,	 -1.905941,
-1.719236,	 -0.098493,	 0.001281,	 0.440037,	 -4.130052,	 -1.906236,
-1.716779,	 -0.120167,	 -0.008726,	 0.509826,	 -4.125699,	 -1.906125,
-1.713956,	 -0.141816,	 -0.018733,	 0.579640,	 -4.120457,	 -1.905607,
-1.710766,	 -0.163436,	 -0.028735,	 0.649467,	 -4.114322,	 -1.904680,
-1.707210,	 -0.185022,	 -0.038732,	 0.719295,	 -4.107293,	 -1.903343,
-1.703286,	 -0.206569,	 -0.048721,	 0.789114,	 -4.099366,	 -1.901594,
-1.698997,	 -0.228072,	 -0.058700,	 0.858913,	 -4.090540,	 -1.899432,
-1.694341,	 -0.249527,	 -0.068667,	 0.928679,	 -4.080811,	 -1.896855,
-1.689319,	 -0.270930,	 -0.078619,	 0.998402,	 -4.070178,	 -1.893862,
-1.683931,	 -0.292274,	 -0.088555,	 1.068069,	 -4.058638,	 -1.890451,
-1.678178,	 -0.313556,	 -0.098472,	 1.137670,	 -4.046188,	 -1.886622,
